radiation,pm25
0.362,8.5
0.362,10.1
0.336,9.9
0.342,13.4
0.268,12.8
0.243,7.8
0.316,10
0.234,12
0.357,8.5
0.387,8.5
0.377,11.2
0.374,13.4
0.395,7.9
0.377,9.3
0.398,10.7
0.398,10.6
0.403,8.8
0.41,8.8
0.4,9.8
0.397,7
0.41,9.3
0.389,18.1
0.397,14.5
0.422,8.8
0.425,7.8
0.426,9.1
0.427,9.9
0.396,11.4
0.374,22.5
0.342,10.3
0.375,8.5
0.305,6.5
0.443,6
0.449,8.4
0.449,12
0.434,10.7
0.361,11.5
0.173,12
0.359,7.5
0.458,7.1
0.446,10.1
0.465,3.5
0.306,6
0.466,5.4
0.468,8.1
0.435,14.5
0.459,7
0.475,5.6
0.412,7.3
0.477,6.7
0.485,6.9
0.478,7.6
0.386,9.5
0.459,6.8
0.487,8.6
0.472,18.8
0.482,10.3
0.49,8.6
0.491,10.9
0.492,7.7
0.493,6.4
0.484,9.2
0.493,6.4
0.494,7.6
0.468,6.3
0.492,16.3
0.506,9.3
0.508,8
0.511,7.7
0.517,7
0.519,7.6
0.463,11.1
0.491,11.7
0.35,8.7
0.436,7.9
0.445,15.1
0.422,7.4
0.338,5
0.463,6.8
0.51,8
0.514,6.6
0.486,8.9
0.506,9.6
0.474,11.6
0.51,11.5
0.5,10.6
0.515,10.5
0.523,12.1
0.481,10.4
0.36,9.3
0.404,6.6
0.327,5.8
0.326,3.9
0.217,4.7
0.328,9.4
0.304,9.2
0.341,7
0.35,7.4
0.335,15.8
0.311,12.8
0.349,10.2
0.335,10.5
0.344,7.6
0.356,7.8
0.362,7.1
0.356,7.4
0.344,6.7
0.369,7.3
0.363,12.3
0.366,8.8
0.359,9.2
0.37,8.4
0.38,8.4
0.327,32.7
0.385,6.8
0.371,7.2
0.386,7
0.389,6
0.332,8.6
0.273,4.2
0.402,4.6
0.317,43.2
0.279,15.2
0.408,7.2
0.412,8.5
0.415,19.2
0.418,13.4
0.335,17.6
0.432,17.1
0.437,10.2
0.393,14.2
0.427,14.1
0.409,11.1
0.423,9.5
0.416,6.2
0.406,6.3
0.448,5.7
0.443,6.3
0.45,6.5
0.429,7.2
0.454,6.8
0.493,6.3
0.465,5.1
0.449,5.9
0.451,4.3
0.457,9
0.421,21.3
0.455,4.5
0.441,9.4
0.382,10.1
0.312,4.6
0.475,3.3
0.495,4.8
0.478,5
0.48,4.1
0.48,5.2
0.408,7.2
0.479,4.6
0.458,6.2
0.465,5.8
0.437,4.8
0.479,5.8
0.477,4
0.479,6
0.445,5.1
0.469,5.3
0.357,18.4
0.487,5.1
0.466,5.9
0.505,4.2
0.502,4.6
0.49,9
0.469,7
0.492,7.4
0.424,6
0.453,8.5
0.495,9
0.502,7.4
0.502,5.8
0.486,8.2
0.425,13.4
0.393,13.3
0.352,5.7
0.356,10.5
0.361,11.1
0.369,6.1
0.315,8.2
0.299,4.6
0.333,7.7
0.278,9.5
0.37,6.4
0.302,5.7
0.196,6.3
0.338,5.9
0.371,7.2
0.353,9.4
0.351,13.7
0.323,6.9
0.325,6.1
0.395,8.7
0.377,4.7
0.411,6.4
0.396,10.5
0.381,7.6
0.359,7.9
0.305,9.5
0.351,8.9
0.092,6.9
0.386,5.8
0.422,5.7
0.429,7.3
0.433,8.1
0.405,6.4
0.381,6.2
0.443,6.7
0.45,9.6
0.441,12
0.419,8.1
0.362,7.1
0.373,8.1
0.448,10.1
0.376,8.9
0.454,13.5
0.454,9.4
0.437,17.5
0.441,19.2
0.477,5.4
0.478,8.3
0.424,9.9
0.447,14.3
0.47,11.1
0.423,13.9
0.476,21.6
0.475,6.5
0.301,9
0.479,9.3
0.477,11
0.419,10
0.446,8.9
0.242,9.7
0.453,11.4
0.488,7.1
0.455,7.7
0.434,20.6
0.51,7
0.509,6.5
0.508,6.2
0.509,6.1
0.465,9.5
0.502,7.1
0.507,7.1
0.514,7.7
0.512,7.7
0.463,7.9
0.458,6.6
0.516,7.5
0.522,6.6
0.52,6.8
0.523,9.7
0.523,16.6
0.532,7.6
0.502,12.7
0.438,8.2
0.502,7.6
0.52,8
0.523,6.8
0.535,7.3
0.423,8.9
0.526,5.8
0.538,6.7
0.533,6.7
0.53,8.2
0.535,8.1
0.347,6.2
0.287,7.8
0.355,6.6
0.34,7
0.355,5.6
0.361,6.3
0.24,8.3
0.108,25.2
0.304,6.5
0.145,8.1
0.126,6.7
0.225,11.4
0.351,11.7
0.394,6.2
0.313,7.7
0.161,5.6
0.393,5.3
0.294,5.3
0.398,8.8
0.385,11
0.36,11.7
0.375,7.5
0.393,6.2
0.422,7
0.408,10.6
0.363,13.1
0.325,13.4
0.417,11.1
0.436,12.4
0.353,11
0.425,9.9
0.402,9.8
0.432,10.7
0.378,7.2
0.356,9.5
0.427,5.3
0.455,5.4
0.458,5.4
0.456,6.3
0.36,34.6
0.459,6.4
0.21,8.1
0.419,6.6
0.47,5.7
0.466,10.6
0.449,6.1
0.372,10.8
0.477,7.8
0.484,5.8
0.461,9.6
0.486,7.1
0.316,8
0.416,4.7
0.48,4.4
0.489,6.1
0.44,7.6
0.489,7.8
0.497,6.5
0.448,6
0.497,7.7
0.457,4.7
0.507,5.8
0.507,6.5
0.51,6.1
0.495,5.9
0.385,7.6
0.459,5.3
0.462,6.6
0.346,6.7
0.442,6.5
0.247,5.3
0.417,6
0.513,8.7
0.506,7.4
0.484,7.8
0.524,11.4
0.523,6.4
0.455,6.6
0.299,22.2
0.521,10.1
0.514,17.5
0.516,11
0.527,7.9
0.507,5.8
0.4,22.6
0.52,11.8
0.529,8.8
0.533,5.7
0.501,15.1
0.48,11.7
0.184,3.6
0.202,4.9
0.099,3.5
0.369,9.8
0.366,3.2
0.356,4.9
0.141,2.3
0.366,5
0.263,5.4
0.299,4.5
0.151,2.5
0.29,3.7
0.395,6.6
0.255,8
0.403,5.9
0.129,5.3
0.119,5.5
0.382,4.3
0.4,5.1
0.365,4.3
0.404,5.7
0.42,5.5
0.431,3.6
0.422,3.6
0.276,5.4
0.283,13.9
0.44,5.5
0.321,7
0.44,5.2
0.403,7.3
0.369,5.7
0.453,3.4
0.309,4.4
0.435,4.8
0.454,4.8
0.294,4
0.459,3.6
0.442,4.1
0.422,3.3
0.471,4.3
0.461,3.5
0.467,6
0.472,5.1
0.476,3.6
0.48,5.4
0.475,4.6
0.384,5.4
0.485,5.4
0.489,4.2
0.483,5.1
0.498,5.4
0.491,4.8
0.496,4.8
0.499,5.1
0.497,7.1
0.5,5.7
0.457,5.8
0.505,5
0.497,8.1
0.466,8.1
0.446,7.3
0.504,7.1
0.51,7.3
0.523,5.4
0.51,8.9
0.523,4.8
0.481,8.6
0.495,8.2
0.384,7.6
0.421,5.9
0.525,4.8
0.524,4.8
0.45,4.6
0.526,4.5
0.531,4.9
0.533,5.5
0.529,8.2
0.516,5.8
0.534,4.6
0.543,4.3
0.544,5.3
0.541,4.4
0.52,4.9
0.533,5.8
0.529,6.4
0.538,8.1
0.515,7.7
0.525,4.6
0.527,3.9
0.534,4.6
0.354,8.6
0.366,9.4
0.368,7
0.362,10.5
0.318,11.1
0.286,12.3
0.383,8.8
0.384,7.4
0.337,7.3
0.372,12.6
0.392,9.8
0.398,6.6
0.294,54.8
0.408,6.2
0.402,9.1
0.403,7.1
0.406,9
0.267,8.6
0.391,9.2
0.413,10.8
0.331,8
0.416,5.5
0.429,6.1
0.39,8
0.431,8.5
0.413,8.2
0.44,12.2
0.436,15.1
0.391,10.3
0.417,10.6
0.447,11.2
0.446,9.9
0.412,6.9
0.393,6.6
0.471,4.5
0.427,4.6
0.468,7.1
0.471,10
0.421,6.1
0.444,6.3
0.466,10.7
0.385,9.6
0.265,9.4
0.26,5.9
0.4,9.3
0.454,4.1
0.481,4.3
0.492,7
0.485,5.6
0.42,10.1
0.491,6.8
0.496,7.3
0.493,5.2
0.436,13.1
0.405,12.9
0.352,3.3
0.137,3.6
0.328,3.6
0.507,5.4
0.458,14.9
0.517,8.2
0.512,6.8
0.49,16.1
0.478,11
0.525,12.9
0.53,8.1
0.502,7.4
0.53,7.5
0.489,7.2
0.501,9.8
0.463,8.5
0.44,8.3
0.541,6.4
0.524,8.8
0.491,7.4
0.456,9.7
0.533,8.2
0.376,7.7
0.526,14.1
0.537,6.5
0.514,6.6
0.542,8.8
0.448,10.5
0.372,9
0.549,7.1
0.54,11.3
0.513,10.1
0.536,9.2
